station_id,station_name,latitude,longitude,timestamp,pm25,pm10,no2,so2,o3,co,bc,temp,humidity,pressure,wind_speed,wind_direction,road_count,has_major_road,industrial_zone_count,near_industrial_zone,dump_site_count,near_dump_site,agricultural_count,near_agricultural_area
407,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,2026-04-05 14:37:29,63.0,123.0,88.2,2.4,3.7,0.1,,34.16,36,1006,4.12,0,337,1,7,1,0,0,1,1
2459,US Diplomatic Post: Hyderabad,17.443464,78.47489,2026-04-05 14:38:24,80.0,,,,,,,34.06,36,1006,3.09,350,669,1,29,1,0,0,9,1
2594,"Sanathnagar, Hyderabad - TSPCB",17.42329722,78.47469722,2026-04-05 14:39:27,157.0,,,4.2,173.79,270.0,,34.16,33,1006,1.54,310,878,1,46,1,0,0,0,0
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,2026-04-05 14:40:42,52.0,112.0,12.9,3.6,51.4,0.57,,33.65,33,1007,1.54,310,109,1,7,1,0,0,0,0
5623,"Central University, Hyderabad - TSPCB",17.460103,78.334361,2026-04-05 14:42:47,26.0,86.0,8.0,5.9,23.7,0.0,,33.6,33,1007,1.54,310,204,1,13,1,1,1,2,1
5647,"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152,2026-04-05 14:45:34,32.0,,22.4,8.5,14.5,1.66,,33.87,33,1007,1.54,310,377,1,25,1,0,0,0,0
8557,Hyderabad,17.38405,78.45636,2026-04-05 14:46:08,,,,,,,,,,,,,0,0,21,1,0,0,2,1
344103,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,2026-04-05 14:47:18,15.35,24.53,14.15,3.9,178.83,800.0,,33.84,33,1006,1.54,310,82,1,18,1,0,0,13,1
344104,"Kompally Municipal Office, Hyderabad - TSPCB",17.544898999999997,78.486949,2026-04-05 14:48:22,28.26,27.38,2.97,5.32,133.9,240.0,,33.66,33,1007,1.54,310,96,1,5,1,0,0,21,1
344140,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,2026-04-05 14:50:22,69.53,186.86,47.31,4.64,21.31,1210.0,,34.04,33,1006,1.54,310,711,1,0,0,1,1,0,0
344142,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,2026-04-05 14:51:24,129.72,107.18,13.56,7.9,9.1,380.0,,34.23,33,1006,1.54,310,87,1,27,1,4,1,1,1
346258,"Kokapet, Hyderabad - TSPCB",17.393559,78.33919399999999,2026-04-05 14:52:21,21.25,30.37,14.59,12.1,36.35,180.0,,34.03,33,1007,1.54,310,364,1,33,1,0,0,10,1
352465,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,2026-04-05 14:53:20,27.66,70.48,14.06,47.1,26.65,1000.0,,34.19,33,1006,4.12,0,430,1,8,1,0,0,9,1
4720578,Hyderabad,17.492676,78.405394,2026-04-05 14:54:06,16.686041355133057,,,,,,,33.71,33,1007,1.54,310,228,1,20,1,1,1,0,0
