source,city,latitude,longitude,PM2_5,PM10,NO2,CO,SO2,O3,timestamp
OpenWeather Air Pollution API,Amalapuram,16.243,83.3,99.26,120.77,0.24,312.11,3.34,149.2,2026-02-19T12:25:40.459118
OpenWeather Air Pollution API,Visakhapatnam,17.6868,83.2185,68.14,79.92,1.19,260.44,2.21,128.18,2026-02-20T12:45:33.043377
OpenWeather Air Pollution API,Tenali,16.242,80.64,64.6,78.19,0.95,257.28,1.3,108.86,2026-02-20T12:46:27.491013
68.14,79.92,1.19,260.44,2.21,128.18
OpenWeather Air Pollution API,Visakhapatnam,17.6868,83.2185,68.14,79.92,1.19,260.44,2.21,128.18,2026-02-20T12:57:16.239558
OpenWeather Air Pollution API,Visakhapatnam,17.6868,83.2185,68.14,79.92,1.19,260.44,2.21,128.18,2026-02-20T12:58:44.931142
OpenWeatherMap Air Pollution,Hyderabad,17.385,78.4867,64.46,70.71,1.84,224.29,7.09,142.74,2026-03-02T10:20:40.463695
OpenWeatherMap Air Pollution,Hyderabad,17.385,78.4867,64.46,70.71,1.84,224.29,7.09,142.74,2026-03-02T10:23:24.779528
OpenWeather Air Pollution API,Hyderabad,17.385,78.4867,64.46,70.71,1.84,224.29,7.09,142.74,2026-03-02T10:24:14.404208
OpenWeatherMap Air Pollution,Hyderabad,17.385,78.4867,65.21,71.62,2.59,230.88,7.48,141.05,2026-03-02T10:41:59.746310
OpenWeatherMap Air Pollution,Vijayawada,16.51,80.62,68.93,80.76,2.23,208.11,6.5,142.34,2026-03-02T12:51:16.751996
OpenWeatherMap Air Pollution,Mumbai,19.04,72.86,89.89,117.67,3.52,391.41,18.19,144.82,2026-03-13T06:08:26.410386
OpenWeatherMap Air Pollution,Kochi,9.9312,76.2673,17.88,21.03,0.27,185.41,0.5,70.26,2026-03-13T10:52:37.797542
OpenWeatherMap Air Pollution,Arunachal Pradesh ,28.218,94.7278,9.43,9.84,1.61,309.79,0.31,61.04,2026-03-13T11:25:45.710848
OpenWeatherMap Air Pollution,Kerala ,10.1632,76.6413,22.18,25.67,0.5,194.39,0.98,81.51,2026-03-13T11:30:44.151760
OpenWeatherMap Air Pollution,Tenali,16.2379,80.6444,40.21,49.92,2.11,244.62,7.22,121.16,2026-03-13T11:33:34.771295
OpenWeatherMap Air Pollution,Bangalore ,12.9629,77.5775,40.2,47.14,3.41,211.69,5.23,125.96,2026-03-13T11:35:32.647927
