state,city,latitude,longitude,timestamp,pm25,pm10,no2,co,so2,o3,temperature,humidity,pressure,wind_speed,dist_to_road,dist_to_industry,dist_to_dump,hour,day,month,day_of_week,season
Rajasthan,Jaipur,26.908935,75.797119,2024-01-01 00:00:00,0.4099188937641271,0.6437705103541925,0.6526655896607433,0.6026200873362445,0.11472081218274113,0.32040546496253863,0.4608695652173913,0.1694915254237288,0.5,0.44869565217391294,0.7242798353909464,0.33954451345755693,0.845360824742268,0,1,1,0,Winter
Uttar Pradesh,Lucknow,26.851918,80.937123,2024-01-01 01:00:00,0.9999999999999998,0.9999999999999999,0.6462035541195478,1.0,0.7401015228426396,0.6453283384750992,0.5043478260869563,0.38983050847457623,0.0,0.3582608695652174,0.611111111111111,0.6997929606625259,0.9814432989690721,1,1,1,0,Winter
West Bengal,Kolkata,22.571281,88.36627,2024-01-01 02:00:00,0.13415769179630366,0.16396967296593865,0.1938610662358643,0.3908296943231441,0.24771573604060917,0.33583076245041865,0.6198757763975156,0.847457627118644,0.0,0.7165217391304347,0.9156378600823045,0.3726708074534162,0.13608247422680414,2,1,1,0,Winter
West Bengal,Kolkata,22.572575,88.363516,2024-01-01 03:00:00,0.13415769179630366,0.16396967296593865,0.1938610662358643,0.3908296943231441,0.24771573604060917,0.33583076245041865,0.6173913043478261,0.847457627118644,0.0,0.7165217391304347,0.8395061728395061,0.9668737060041408,0.8597938144329896,3,1,1,0,Winter
Telangana,Hyderabad,17.38626,78.48305,2024-01-01 04:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.648447204968944,0.559322033898305,0.5,0.44869565217391294,0.8950617283950617,0.20703933747412007,0.8639175257731959,4,1,1,0,Winter
Tamil Nadu,Chennai,13.078508,80.265373,2024-01-01 05:00:00,0.17245047201170055,0.21421296820187843,0.5032310177705978,0.3515283842794761,1.0,0.20493609519612166,0.8161490683229813,0.8305084745762712,0.5,0.44869565217391294,0.8991769547325102,0.9730848861283643,0.3484536082474227,5,1,1,0,Winter
Odisha,Bhubaneswar,20.298972,85.830863,2024-01-01 06:00:00,0.1822895891503789,0.18569650333823692,0.20113085621970922,0.3427947598253276,0.5411167512690356,0.3693256941383869,0.8658385093167702,0.7118644067796609,0.0,0.7165217391304347,0.7469135802469135,0.05590062111801242,0.21649484536082475,6,1,1,0,Winter
Telangana,Hyderabad,17.384397,78.478591,2024-01-01 07:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.6534161490683226,0.559322033898305,0.5,0.44869565217391294,0.43004115226337447,0.9316770186335405,0.3525773195876289,7,1,1,0,Winter
Karnataka,Bangalore,12.972158,77.590151,2024-01-01 08:00:00,0.31365509905597655,0.32363924408736,0.5516962843295639,0.44759825327510916,0.6893401015228426,0.7696121639488761,0.5105590062111802,0.5932203389830508,1.0,1.0,0.95679012345679,0.9151138716356109,0.9216494845360825,8,1,1,0,Winter
West Bengal,Kolkata,22.569901,88.370199,2024-01-01 09:00:00,0.13415769179630366,0.16396967296593865,0.1938610662358643,0.3908296943231441,0.24771573604060917,0.33583076245041865,0.6198757763975156,0.847457627118644,0.0,0.7165217391304347,0.8065843621399176,0.5942028985507247,0.5670103092783505,9,1,1,0,Winter
Telangana,Hyderabad,17.376345,78.477349,2024-01-01 10:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.6534161490683226,0.559322033898305,0.5,0.44869565217391294,0.7489711934156378,0.09937888198757765,0.88659793814433,10,1,1,0,Winter
Odisha,Bhubaneswar,20.299833,85.829452,2024-01-01 11:00:00,0.1822895891503789,0.18569650333823692,0.20113085621970922,0.3427947598253276,0.5411167512690356,0.3693256941383869,0.8658385093167702,0.7118644067796609,0.0,0.7165217391304347,0.3786008230452675,0.3768115942028986,0.3237113402061856,11,1,1,0,Winter
Telangana,Hyderabad,17.387228,78.481268,2024-01-01 12:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.648447204968944,0.559322033898305,0.5,0.44869565217391294,0.17489711934156377,0.11801242236024846,0.5835051546391753,12,1,1,0,Winter
Punjab,Amritsar,31.631404,74.87687,2024-01-01 13:00:00,0.37827416566945876,0.4747086115197465,0.5525040387722132,0.8187772925764193,0.2395939086294416,0.0,0.1217391304347828,0.559322033898305,0.0,0.0,0.22427983539094645,0.5279503105590062,0.06804123711340207,13,1,1,0,Winter
