latitude,longitude,PM2.5,PM10,NO2,CO,SO2,O3,temperature,humidity,wind_speed,wind_direction,distance,hour,day_of_week,month,season,roads_count,industrial_count,farmland_count,dumpsite_count
17.672345156836528,83.19291225791956,46.58,59.38,3.63,226.06,1.87,69.96,23.94,72,1.68,248,3151.05,10 AM,Monday,3,Dry,310,1,0,0
17.714206119657288,83.2380453260226,44.87,56.27,2.15,193.88,1.46,81.25,24.96,69,1.78,247,3674.17,11 AM,Monday,3,Dry,310,1,0,0
17.73504112763632,83.26069732086171,44.87,56.27,2.15,193.88,1.46,81.25,23.64,68,1.81,246,6967.26,12 PM,Monday,3,Dry,310,1,0,0
17.694867355255813,83.18043122933535,46.58,59.38,3.63,226.06,1.87,69.96,23.94,72,1.68,248,4136.16,01 PM,Monday,3,Dry,310,1,0,0
17.64795657506227,83.21834382964443,44.87,56.27,2.15,193.88,1.46,81.25,24.86,71,2.12,248,4299.09,02 PM,Monday,3,Dry,310,1,0,0
17.678703798877624,83.26226304070008,44.87,56.27,2.15,193.88,1.46,81.25,25.57,69,2.24,245,4728.62,03 PM,Monday,3,Dry,310,1,0,0
17.64936686726621,83.17858693995547,46.58,59.38,3.63,226.06,1.87,69.96,24.24,73,1.96,249,5924.36,04 PM,Monday,3,Dry,310,1,0,0
17.642225185632746,83.20509445961594,44.87,56.27,2.15,193.88,1.46,81.25,24.86,71,2.12,248,5134.34,05 PM,Monday,3,Dry,310,1,0,0
17.692390790852247,83.2671066621573,44.87,56.27,2.15,193.88,1.46,81.25,25.57,69,2.24,245,5193.61,06 PM,Monday,3,Dry,310,1,0,0
17.668874123537677,83.18339712796471,46.58,59.38,3.63,226.06,1.87,69.96,23.94,72,1.68,248,4219.75,07 PM,Monday,3,Dry,310,1,0,0
17.656074270199156,83.18879631399822,46.58,59.38,3.63,226.06,1.87,69.96,24.24,73,1.96,249,4636.43,08 PM,Monday,3,Dry,310,1,0,0
17.687996671372918,83.18093404760782,46.58,59.38,3.63,226.06,1.87,69.96,23.94,72,1.68,248,3987.57,09 PM,Monday,3,Dry,310,1,0,0
17.668918459957442,83.24341907905567,44.87,56.27,2.15,193.88,1.46,81.25,25.11,69,2.02,247,3302.49,10 PM,Monday,3,Dry,310,1,0,0
17.658006573950466,83.17387919835816,46.58,59.38,3.63,226.06,1.87,69.96,24.24,73,1.96,249,5706.86,11 PM,Monday,3,Dry,310,1,0,0
17.66360491881989,83.23641934932871,44.87,56.27,2.15,193.88,1.46,81.25,24.83,70,2.29,247,3194.5,12 AM,Monday,3,Dry,310,1,0,0
17.676827479896115,83.24819297771357,44.87,56.27,2.15,193.88,1.46,81.25,25.11,69,2.02,247,3337.98,01 AM,Monday,3,Dry,310,1,0,0
17.684187719642402,83.1955921616674,46.58,59.38,3.63,226.06,1.87,69.96,24.55,71,1.84,248,2447.46,02 AM,Monday,3,Dry,310,1,0,0
17.65669104549426,83.1898264899584,46.58,59.38,3.63,226.06,1.87,69.96,24.24,73,1.96,249,4512.19,03 AM,Monday,3,Dry,310,1,0,0
17.69050027246108,83.22854934792731,44.87,56.27,2.15,193.88,1.46,81.25,25.11,69,2.02,247,1142.08,04 AM,Monday,3,Dry,310,1,0,0
17.729972416105454,83.17164906449337,46.58,59.38,3.63,226.06,1.87,69.96,21.25,72,1.25,246,6894.23,05 AM,Monday,3,Dry,310,1,0,0
