location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day
Visakhapatnam,17.6868,83.2185,26,56,22,127,6,44,2026-03-28 00:18:08.505515,33,76,9.34404848616778,59,0,28
Mumbai,19.076,72.8777,110,124,36,361,6,57,2026-03-28 00:18:08.506491,40,64,5.201638767122999,309,0,28
Delhi,28.7041,77.1025,96,86,21,110,13,40,2026-03-28 00:18:08.507876,20,54,7.606989358625768,272,0,28
Jammu and Kashmir,34.0837,74.7973,92,108,42,327,13,43,2026-03-28 00:18:08.509367,31,85,4.666335263350749,272,0,28
Hyderabad,17.385,78.4867,94,31,12,332,26,25,2026-03-28 00:18:08.511260,38,80,3.89326731761072,211,0,28
Bangalore,12.9716,77.5946,79,109,46,306,16,72,2026-03-28 00:18:08.512905,31,53,2.5654963350227984,210,0,28
Visakhapatnam,17.6868,83.2185,96,123,24,292,10,26,2026-03-28 01:18:08.505511,24,40,8.173192089657206,323,1,28
Mumbai,19.076,72.8777,49,101,22,391,5,50,2026-03-28 01:18:08.506487,22,85,3.722575821347737,83,1,28
Delhi,28.7041,77.1025,20,75,42,368,30,79,2026-03-28 01:18:08.507872,33,64,1.2762709676864683,46,1,28
Jammu and Kashmir,34.0837,74.7973,117,54,47,134,20,35,2026-03-28 01:18:08.509350,23,51,8.28387719970852,321,1,28
Hyderabad,17.385,78.4867,84,82,15,395,5,68,2026-03-28 01:18:08.511253,32,89,1.8045014057273088,74,1,28
Bangalore,12.9716,77.5946,91,96,37,120,25,12,2026-03-28 01:18:08.512899,35,62,4.60754471768228,293,1,28
Visakhapatnam,17.6868,83.2185,42,50,27,321,28,56,2026-03-28 02:18:08.505508,32,88,2.711553152130795,103,2,28
Mumbai,19.076,72.8777,63,30,7,222,19,36,2026-03-28 02:18:08.506484,34,62,3.7818974045477294,317,2,28
Delhi,28.7041,77.1025,120,122,8,313,13,37,2026-03-28 02:18:08.507869,36,85,3.361045235220896,356,2,28
Jammu and Kashmir,34.0837,74.7973,37,108,23,237,8,30,2026-03-28 02:18:08.509344,28,75,7.28637533287504,172,2,28
Hyderabad,17.385,78.4867,33,51,26,323,16,11,2026-03-28 02:18:08.511246,36,78,5.324234112297911,138,2,28
Bangalore,12.9716,77.5946,52,87,38,310,6,41,2026-03-28 02:18:08.512892,36,89,3.702830876541201,338,2,28
Visakhapatnam,17.6868,83.2185,57,30,16,131,29,49,2026-03-28 03:18:08.505504,21,73,4.467004230491721,57,3,28
Mumbai,19.076,72.8777,86,86,35,231,15,35,2026-03-28 03:18:08.506480,30,67,5.1269710000573365,266,3,28
Delhi,28.7041,77.1025,43,124,35,256,14,42,2026-03-28 03:18:08.507865,26,49,4.602665065733467,183,3,28
Jammu and Kashmir,34.0837,74.7973,51,64,22,104,17,13,2026-03-28 03:18:08.509335,33,74,8.830065202497691,161,3,28
Hyderabad,17.385,78.4867,106,125,33,282,23,13,2026-03-28 03:18:08.511237,37,51,7.64098083101945,103,3,28
Bangalore,12.9716,77.5946,56,40,29,219,12,61,2026-03-28 03:18:08.512885,22,44,9.10707337574886,225,3,28
Visakhapatnam,17.6868,83.2185,25,34,46,203,6,63,2026-03-28 04:18:08.505497,38,66,7.52406188742526,313,4,28
Mumbai,19.076,72.8777,96,58,29,142,25,60,2026-03-28 04:18:08.506477,28,49,1.085247283917408,308,4,28
Delhi,28.7041,77.1025,20,122,27,128,18,12,2026-03-28 04:18:08.507862,34,76,1.2234822598826662,226,4,28
Jammu and Kashmir,34.0837,74.7973,114,103,32,106,20,42,2026-03-28 04:18:08.509329,40,41,5.997329765238103,178,4,28
Hyderabad,17.385,78.4867,88,146,15,117,30,71,2026-03-28 04:18:08.511230,21,51,3.2946350013330346,113,4,28
Bangalore,12.9716,77.5946,62,127,20,390,8,32,2026-03-28 04:18:08.512878,28,51,7.828469924935058,71,4,28
Visakhapatnam,17.6868,83.2185,92,93,40,200,30,69,2026-03-28 05:18:08.505493,34,77,5.6484628598398,1,5,28
Mumbai,19.076,72.8777,102,44,23,327,29,23,2026-03-28 05:18:08.506473,40,52,1.2778720478849994,152,5,28
Delhi,28.7041,77.1025,91,77,48,172,6,26,2026-03-28 05:18:08.507859,22,44,6.566598871224399,233,5,28
Jammu and Kashmir,34.0837,74.7973,81,48,30,358,7,35,2026-03-28 05:18:08.509323,36,43,9.864512434736714,3,5,28
Hyderabad,17.385,78.4867,61,78,27,322,27,52,2026-03-28 05:18:08.511224,24,86,7.756812374419447,137,5,28
Bangalore,12.9716,77.5946,56,80,47,144,19,60,2026-03-28 05:18:08.512872,25,45,2.2951587501680986,283,5,28
Visakhapatnam,17.6868,83.2185,58,73,24,216,21,14,2026-03-28 06:18:08.505490,36,84,9.198010604669056,101,6,28
Mumbai,19.076,72.8777,88,35,32,168,19,60,2026-03-28 06:18:08.506470,27,51,6.275443672579559,63,6,28
Delhi,28.7041,77.1025,110,107,33,386,9,41,2026-03-28 06:18:08.507855,39,41,8.32435172244854,222,6,28
Jammu and Kashmir,34.0837,74.7973,99,51,42,371,2,74,2026-03-28 06:18:08.509316,33,42,1.9734976121391183,255,6,28
Hyderabad,17.385,78.4867,76,114,40,188,28,69,2026-03-28 06:18:08.511218,31,88,6.261805243658268,217,6,28
Bangalore,12.9716,77.5946,32,49,16,148,23,13,2026-03-28 06:18:08.512865,37,80,4.311413052036484,296,6,28
Visakhapatnam,17.6868,83.2185,24,133,15,310,5,58,2026-03-28 07:18:08.505486,24,64,9.201496736583383,124,7,28
Mumbai,19.076,72.8777,32,141,27,202,5,58,2026-03-28 07:18:08.506466,38,65,7.2960000674392145,120,7,28
Delhi,28.7041,77.1025,76,124,48,345,23,10,2026-03-28 07:18:08.507852,26,67,6.805851642758966,72,7,28
Jammu and Kashmir,34.0837,74.7973,106,51,28,120,11,46,2026-03-28 07:18:08.509309,27,71,2.829155826094163,203,7,28
Hyderabad,17.385,78.4867,97,73,42,362,8,49,2026-03-28 07:18:08.511212,20,49,5.734242814129183,197,7,28
Bangalore,12.9716,77.5946,106,44,5,264,26,40,2026-03-28 07:18:08.512858,20,71,7.506713964390699,216,7,28
Visakhapatnam,17.6868,83.2185,46,47,43,196,12,18,2026-03-28 08:18:08.505482,22,54,6.05409883301755,144,8,28
Mumbai,19.076,72.8777,70,47,35,192,19,78,2026-03-28 08:18:08.506463,27,74,8.743107839926207,301,8,28
Delhi,28.7041,77.1025,106,68,41,258,21,39,2026-03-28 08:18:08.507848,40,68,9.819548810630115,203,8,28
Jammu and Kashmir,34.0837,74.7973,117,45,26,107,8,65,2026-03-28 08:18:08.509303,29,48,1.7854354274699011,152,8,28
Hyderabad,17.385,78.4867,41,42,47,260,18,13,2026-03-28 08:18:08.511206,24,64,7.105977398921911,218,8,28
Bangalore,12.9716,77.5946,101,61,45,204,3,10,2026-03-28 08:18:08.512851,26,90,7.081227359105518,108,8,28
Visakhapatnam,17.6868,83.2185,108,118,28,183,5,36,2026-03-28 09:18:08.505479,25,47,2.0197594311256983,249,9,28
Mumbai,19.076,72.8777,57,134,32,393,6,37,2026-03-28 09:18:08.506458,23,44,8.98446207122738,165,9,28
Delhi,28.7041,77.1025,45,143,45,301,3,11,2026-03-28 09:18:08.507845,27,43,5.657699848372879,312,9,28
Jammu and Kashmir,34.0837,74.7973,97,70,22,163,18,65,2026-03-28 09:18:08.509296,33,40,2.9797048374660875,121,9,28
Hyderabad,17.385,78.4867,72,134,19,290,10,23,2026-03-28 09:18:08.511198,25,69,6.790539365854045,104,9,28
Bangalore,12.9716,77.5946,22,107,49,178,8,76,2026-03-28 09:18:08.512844,24,85,1.576774215449489,11,9,28
Visakhapatnam,17.6868,83.2185,20,129,17,199,5,18,2026-03-28 10:18:08.505476,24,68,1.1949625696607271,283,10,28
Mumbai,19.076,72.8777,28,112,39,301,13,53,2026-03-28 10:18:08.506451,32,45,1.859948738617223,117,10,28
Delhi,28.7041,77.1025,74,130,27,329,6,35,2026-03-28 10:18:08.507842,38,63,2.078019049840651,75,10,28
Jammu and Kashmir,34.0837,74.7973,49,90,18,292,9,79,2026-03-28 10:18:08.509290,35,57,5.851473857997877,196,10,28
Hyderabad,17.385,78.4867,86,115,47,135,11,64,2026-03-28 10:18:08.511192,37,44,6.711525059221092,181,10,28
Bangalore,12.9716,77.5946,67,68,43,362,7,28,2026-03-28 10:18:08.512838,26,85,4.164771727606544,241,10,28
Visakhapatnam,17.6868,83.2185,87,82,10,329,13,55,2026-03-28 11:18:08.505472,24,63,3.044055639805971,294,11,28
Mumbai,19.076,72.8777,31,135,12,118,13,20,2026-03-28 11:18:08.506445,36,41,9.928772163310391,76,11,28
Delhi,28.7041,77.1025,64,128,16,394,16,29,2026-03-28 11:18:08.507838,27,72,5.295424444741638,353,11,28
Jammu and Kashmir,34.0837,74.7973,112,33,5,129,30,76,2026-03-28 11:18:08.509283,36,74,4.47978246108841,281,11,28
Hyderabad,17.385,78.4867,52,76,32,110,24,13,2026-03-28 11:18:08.511185,22,58,1.484021200206123,142,11,28
