location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day,pollution_source
Visakhapatnam,17.6868,83.2185,58,124,49,216,30,41,2026-03-26 23:33:27.716785,23,84,6.99960481815233,171,23,26,Vehicular
Mumbai,19.076,72.8777,69,118,29,162,7,34,2026-03-26 23:33:27.717175,23,84,6.99960481815233,171,23,26,Mixed
Delhi,28.7041,77.1025,27,69,43,362,30,56,2026-03-26 23:33:27.717555,23,84,6.99960481815233,171,23,26,Vehicular
Jammu and Kashmir,34.0837,74.7973,106,120,7,168,7,52,2026-03-26 23:33:27.717953,23,84,6.99960481815233,171,23,26,Agricultural
Hyderabad,17.385,78.4867,32,126,45,281,10,31,2026-03-26 23:33:27.718350,23,84,6.99960481815233,171,23,26,Vehicular
Bangalore,12.9716,77.5946,97,84,42,106,21,69,2026-03-26 23:33:27.718735,23,84,6.99960481815233,171,23,26,Vehicular
Visakhapatnam,17.6868,83.2185,86,119,6,128,23,76,2026-03-27 00:33:27.716780,23,84,6.99960481815233,171,0,27,Industrial
Mumbai,19.076,72.8777,52,86,48,278,10,37,2026-03-27 00:33:27.717170,23,84,6.99960481815233,171,0,27,Vehicular
Delhi,28.7041,77.1025,88,107,28,182,5,28,2026-03-27 00:33:27.717550,23,84,6.99960481815233,171,0,27,Agricultural
Jammu and Kashmir,34.0837,74.7973,107,97,39,272,8,56,2026-03-27 00:33:27.717948,23,84,6.99960481815233,171,0,27,Vehicular
Hyderabad,17.385,78.4867,81,124,41,385,10,75,2026-03-27 00:33:27.718344,23,84,6.99960481815233,171,0,27,Vehicular
Bangalore,12.9716,77.5946,24,117,15,351,10,10,2026-03-27 00:33:27.718729,23,84,6.99960481815233,171,0,27,Mixed
Visakhapatnam,17.6868,83.2185,110,140,42,128,21,29,2026-03-27 01:33:27.716774,23,84,6.99960481815233,171,1,27,Vehicular
Mumbai,19.076,72.8777,55,30,20,249,24,27,2026-03-27 01:33:27.717164,23,84,6.99960481815233,171,1,27,Industrial
Delhi,28.7041,77.1025,57,102,10,329,13,35,2026-03-27 01:33:27.717544,23,84,6.99960481815233,171,1,27,Mixed
Jammu and Kashmir,34.0837,74.7973,60,101,40,269,6,14,2026-03-27 01:33:27.717943,23,84,6.99960481815233,171,1,27,Vehicular
Hyderabad,17.385,78.4867,112,70,31,287,28,49,2026-03-27 01:33:27.718339,23,84,6.99960481815233,171,1,27,Vehicular
Bangalore,12.9716,77.5946,96,46,13,364,24,48,2026-03-27 01:33:27.718724,23,84,6.99960481815233,171,1,27,Industrial
Visakhapatnam,17.6868,83.2185,51,138,18,356,10,80,2026-03-27 02:33:27.716769,23,84,6.99960481815233,171,2,27,Natural
Mumbai,19.076,72.8777,89,130,26,100,29,52,2026-03-27 02:33:27.717156,23,84,6.99960481815233,171,2,27,Industrial
Delhi,28.7041,77.1025,30,34,17,289,24,54,2026-03-27 02:33:27.717539,23,84,6.99960481815233,171,2,27,Industrial
Jammu and Kashmir,34.0837,74.7973,43,71,33,142,21,12,2026-03-27 02:33:27.717938,23,84,6.99960481815233,171,2,27,Vehicular
Hyderabad,17.385,78.4867,42,81,40,210,28,27,2026-03-27 02:33:27.718334,23,84,6.99960481815233,171,2,27,Vehicular
Bangalore,12.9716,77.5946,79,75,33,280,29,63,2026-03-27 02:33:27.718719,23,84,6.99960481815233,171,2,27,Vehicular
Visakhapatnam,17.6868,83.2185,88,82,50,253,9,33,2026-03-27 03:33:27.716763,23,84,6.99960481815233,171,3,27,Vehicular
Mumbai,19.076,72.8777,76,32,37,372,27,48,2026-03-27 03:33:27.717151,23,84,6.99960481815233,171,3,27,Vehicular
Delhi,28.7041,77.1025,72,48,6,245,26,67,2026-03-27 03:33:27.717534,23,84,6.99960481815233,171,3,27,Industrial
