location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp
Visakhapatnam,17.6868,83.2185,39,68,24,133,19,42,2026-04-06 23:18:08.504439
Visakhapatnam,17.6868,83.2185,94,127,18,207,30,65,2026-04-06 22:18:08.504454
Visakhapatnam,17.6868,83.2185,56,54,23,105,6,17,2026-04-06 21:18:08.504461
Visakhapatnam,17.6868,83.2185,22,43,25,396,9,22,2026-04-06 20:18:08.504465
Visakhapatnam,17.6868,83.2185,74,80,20,148,22,22,2026-04-06 19:18:08.504470
Visakhapatnam,17.6868,83.2185,74,134,7,392,27,42,2026-04-06 18:18:08.504474
Visakhapatnam,17.6868,83.2185,46,85,34,148,17,32,2026-04-06 17:18:08.504478
Visakhapatnam,17.6868,83.2185,91,95,29,281,7,19,2026-04-06 16:18:08.504482
Visakhapatnam,17.6868,83.2185,32,50,28,148,15,37,2026-04-06 15:18:08.504486
Visakhapatnam,17.6868,83.2185,97,33,5,354,12,36,2026-04-06 14:18:08.504492
Visakhapatnam,17.6868,83.2185,82,62,49,335,2,70,2026-04-06 13:18:08.504497
Visakhapatnam,17.6868,83.2185,20,69,15,377,21,23,2026-04-06 12:18:08.504522
Visakhapatnam,17.6868,83.2185,25,104,44,304,13,19,2026-04-06 11:18:08.504530
Visakhapatnam,17.6868,83.2185,84,122,35,387,11,67,2026-04-06 10:18:08.504560
Visakhapatnam,17.6868,83.2185,107,89,47,158,25,77,2026-04-06 09:18:08.504570
Visakhapatnam,17.6868,83.2185,56,107,10,237,6,45,2026-04-06 08:18:08.504576
Visakhapatnam,17.6868,83.2185,93,85,10,119,19,32,2026-04-06 07:18:08.504582
Visakhapatnam,17.6868,83.2185,83,73,43,249,22,69,2026-04-06 06:18:08.504588
Visakhapatnam,17.6868,83.2185,49,75,12,119,28,58,2026-04-06 05:18:08.504595
Visakhapatnam,17.6868,83.2185,20,58,13,397,11,41,2026-04-06 04:18:08.504603
Visakhapatnam,17.6868,83.2185,76,96,8,284,25,40,2026-04-06 03:18:08.504610
Visakhapatnam,17.6868,83.2185,97,77,29,397,30,58,2026-04-06 02:18:08.504618
Visakhapatnam,17.6868,83.2185,21,122,18,197,3,54,2026-04-06 01:18:08.504624
Visakhapatnam,17.6868,83.2185,41,40,36,127,7,12,2026-04-06 00:18:08.504632
Visakhapatnam,17.6868,83.2185,105,73,41,299,7,71,2026-04-05 23:18:08.504639
Visakhapatnam,17.6868,83.2185,74,62,7,366,16,59,2026-04-05 22:18:08.504646
Visakhapatnam,17.6868,83.2185,108,59,27,202,28,69,2026-04-05 21:18:08.504653
Visakhapatnam,17.6868,83.2185,28,150,22,338,19,79,2026-04-05 20:18:08.504660
Visakhapatnam,17.6868,83.2185,63,81,10,207,25,28,2026-04-05 19:18:08.504667
Visakhapatnam,17.6868,83.2185,73,111,48,183,2,28,2026-04-05 18:18:08.504674
Visakhapatnam,17.6868,83.2185,48,84,48,220,8,32,2026-04-05 17:18:08.504681
Visakhapatnam,17.6868,83.2185,108,50,27,277,14,76,2026-04-05 16:18:08.504688
Visakhapatnam,17.6868,83.2185,51,61,39,237,16,32,2026-04-05 15:18:08.504695
Visakhapatnam,17.6868,83.2185,32,82,34,253,13,36,2026-04-05 14:18:08.504702
Visakhapatnam,17.6868,83.2185,23,44,7,258,2,41,2026-04-05 13:18:08.504708
Visakhapatnam,17.6868,83.2185,62,128,39,139,2,80,2026-04-05 12:18:08.504714
Visakhapatnam,17.6868,83.2185,73,38,16,245,12,16,2026-04-05 11:18:08.504720
Visakhapatnam,17.6868,83.2185,97,121,28,212,22,50,2026-04-05 10:18:08.504726
Visakhapatnam,17.6868,83.2185,104,117,42,364,20,63,2026-04-05 09:18:08.504730
Visakhapatnam,17.6868,83.2185,30,47,7,213,17,35,2026-04-05 08:18:08.504733
Visakhapatnam,17.6868,83.2185,60,123,19,218,14,23,2026-04-05 07:18:08.504737
Visakhapatnam,17.6868,83.2185,88,149,50,106,22,44,2026-04-05 06:18:08.504741
Visakhapatnam,17.6868,83.2185,103,32,37,101,17,76,2026-04-05 05:18:08.504744
Visakhapatnam,17.6868,83.2185,22,35,46,281,19,16,2026-04-05 04:18:08.504748
Visakhapatnam,17.6868,83.2185,53,68,14,335,2,47,2026-04-05 03:18:08.504752
Visakhapatnam,17.6868,83.2185,89,72,13,110,23,11,2026-04-05 02:18:08.504755
Visakhapatnam,17.6868,83.2185,77,141,25,228,20,56,2026-04-05 01:18:08.504759
Visakhapatnam,17.6868,83.2185,43,92,41,268,10,30,2026-04-05 00:18:08.504762
Visakhapatnam,17.6868,83.2185,36,57,24,155,7,45,2026-04-04 23:18:08.504766
Visakhapatnam,17.6868,83.2185,109,110,19,161,24,31,2026-04-04 22:18:08.504769
Visakhapatnam,17.6868,83.2185,28,101,42,140,18,52,2026-04-04 21:18:08.504773
