location,temperature,humidity,wind_speed,wind_direction,timestamp
Visakhapatnam,30,57,6.122678643602671,267,2026-04-06 23:18:08.542660
Visakhapatnam,36,72,6.093912746805344,60,2026-04-06 22:18:08.542685
Visakhapatnam,27,48,5.250572090392511,290,2026-04-06 21:18:08.542693
Visakhapatnam,24,71,9.894484635838534,222,2026-04-06 20:18:08.542699
Visakhapatnam,34,73,8.954867832464817,63,2026-04-06 19:18:08.542704
Visakhapatnam,23,64,1.8301106107636362,305,2026-04-06 18:18:08.542708
Visakhapatnam,40,83,7.573387019523549,158,2026-04-06 17:18:08.542713
Visakhapatnam,23,87,9.13827640256151,317,2026-04-06 16:18:08.542717
Visakhapatnam,40,41,8.607724198297763,142,2026-04-06 15:18:08.542721
Visakhapatnam,26,85,3.019654773191124,341,2026-04-06 14:18:08.542725
Visakhapatnam,26,85,4.339299479649571,46,2026-04-06 13:18:08.542729
Visakhapatnam,22,40,6.5713181124020315,190,2026-04-06 12:18:08.542734
Visakhapatnam,40,77,5.869583275309623,114,2026-04-06 11:18:08.542739
Visakhapatnam,23,49,8.002473987982597,275,2026-04-06 10:18:08.542745
Visakhapatnam,37,60,4.818617003838534,355,2026-04-06 09:18:08.542750
Visakhapatnam,21,57,7.240169925638104,179,2026-04-06 08:18:08.542754
Visakhapatnam,21,62,4.235139501134698,319,2026-04-06 07:18:08.542759
Visakhapatnam,31,59,1.7787249578086313,103,2026-04-06 06:18:08.542763
Visakhapatnam,30,66,5.9323070172913015,43,2026-04-06 05:18:08.542768
Visakhapatnam,31,40,7.541507626957911,74,2026-04-06 04:18:08.542772
Visakhapatnam,33,81,2.2973697310641295,359,2026-04-06 03:18:08.542776
Visakhapatnam,27,41,8.523443877655131,280,2026-04-06 02:18:08.542780
Visakhapatnam,33,69,7.6907176081056114,303,2026-04-06 01:18:08.542785
Visakhapatnam,20,47,6.019600083243267,100,2026-04-06 00:18:08.542789
Visakhapatnam,38,85,3.8295543189962045,344,2026-04-05 23:18:08.542793
Visakhapatnam,23,51,5.298765159959067,171,2026-04-05 22:18:08.542798
Visakhapatnam,27,89,5.781154055745051,199,2026-04-05 21:18:08.542803
Visakhapatnam,26,55,7.0087313341422925,245,2026-04-05 20:18:08.542807
Visakhapatnam,40,40,7.338650813954585,246,2026-04-05 19:18:08.542811
Visakhapatnam,24,85,7.1693041724484985,272,2026-04-05 18:18:08.542815
Visakhapatnam,33,43,1.1967588603693342,259,2026-04-05 17:18:08.542820
Visakhapatnam,32,84,5.353398102921774,295,2026-04-05 16:18:08.542824
Visakhapatnam,29,42,9.824169586390378,340,2026-04-05 15:18:08.542828
Visakhapatnam,20,45,4.488457457713126,43,2026-04-05 14:18:08.542833
Visakhapatnam,26,75,4.943522471674998,156,2026-04-05 13:18:08.542838
Visakhapatnam,32,82,4.908800241759304,266,2026-04-05 12:18:08.542842
