state,city,latitude,longitude,timestamp,pm25,pm10,no2,co,so2,o3,temperature,humidity,pressure,wind_speed,dist_to_road,dist_to_industry,dist_to_dump
Tamil Nadu,Chennai,13.079827,80.26417,2024-01-01 00:00:00,21.71,33.11,6.53,2.95,10.34,47.22,30.03,71,1012,3.13,0.0417,0.0259,0.0135
Kerala,Kochi,9.933748,76.258077,2024-01-01 01:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.85,74,1012,1.79,0.0219,0.0103,0.035
Odisha,Bhubaneswar,20.299493,85.820592,2024-01-01 02:00:00,22.45,30.59,2.79,2.91,5.82,62.14,29.91,66,1011,4.63,0.0322,0.0133,0.0299
Assam,Guwahati,26.147501,91.734127,2024-01-01 03:00:00,56.36,61.68,2.55,4.03,6.76,116.97,23.01,83,1012,3.09,0.0468,0.0312,0.0022
West Bengal,Kolkata,22.572635,88.357928,2024-01-01 04:00:00,18.83,28.67,2.7,3.13,2.93,59.1,27.95,74,1011,4.63,0.033,0.0356,0.003
Bihar,Patna,25.592085,85.144716,2024-01-01 05:00:00,40.98,51.91,2.91,3.49,7.01,119.38,27.98,47,1011,3.6,0.0345,0.0254,0.0335
Madhya Pradesh,Bhopal,23.250441,77.411261,2024-01-01 06:00:00,30.18,41.51,4.85,3.89,1.93,52.7,30.06,24,1012,3.19,0.0267,0.0204,0.026
Kerala,Kochi,9.924642,76.267302,2024-01-01 07:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.84,74,1012,1.79,0.0481,0.0432,0.0153
Kerala,Kochi,9.930937,76.260185,2024-01-01 08:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.85,74,1012,1.79,0.0226,0.0357,0.048
Gujarat,Ahmedabad,23.03035,72.567698,2024-01-01 09:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.0203,0.0045,0.0092
Telangana,Hyderabad,17.380852,78.49396,2024-01-01 10:00:00,35.1,43.33,5.72,3.23,9.48,85.1,28.25,57,1012,3.09,0.0216,0.0067,0.0048
Rajasthan,Jaipur,26.921315,75.794667,2024-01-01 11:00:00,39.57,71.07,8.38,4.1,1.62,57.7,26.66,34,1012,3.09,0.0175,0.0494,0.0201
Odisha,Bhubaneswar,20.301632,85.82337,2024-01-01 12:00:00,22.45,30.59,2.79,2.91,5.82,62.14,29.91,66,1011,4.63,0.0224,0.0109,0.0201
Punjab,Amritsar,31.634357,74.877513,2024-01-01 13:00:00,37.19,56.13,7.14,5.09,2.85,28.62,23.96,57,1011,0.51,0.0013,0.0302,0.0154
Odisha,Bhubaneswar,20.305596,85.81478,2024-01-01 14:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.92,66,1011,4.63,0.0036,0.0028,0.0408
Kerala,Kochi,9.939699,76.274778,2024-01-01 15:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.9,74,1012,1.79,0.0346,0.0393,0.031
Telangana,Hyderabad,17.387338,78.484626,2024-01-01 16:00:00,35.1,43.33,5.72,3.23,9.48,85.1,28.2,57,1012,3.09,0.0368,0.0088,0.0151
