city,lat,lon,timestamp,pm2_5,pm10,no2,co,so2,o3,temp,humidity,wind,wind_dir,dist_road,dist_industry,dist_dump,dist_farm,hour,day_of_week,season,pollution_level,pollution_source
Delhi,28.6139,77.209,2026-03-19 11:34:50.647989,96.58,109.29,11.14,546.42,11.26,99.64,25.07,53.0,1.54,220,32.94,2819.91,2069.19,3000.0,11,3,Summer,High,Burning
Mumbai,19.076,72.8777,2026-03-19 11:34:56.224512,33.64,90.27,0.46,136.71,2.71,82.51,29.0,58.0,5.14,270,18.56,142.87,3000.0,1921.7,11,3,Summer,Moderate,Agricultural
Pune,18.5204,73.8567,2026-03-19 11:35:00.406587,36.8,69.05,1.3,174.85,6.11,103.51,32.83,25.0,0.89,231,15.49,1425.74,581.3,2048.67,11,3,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-19 11:35:05.870595,28.37,31.65,2.67,280.06,5.5,107.33,30.0,30.0,2.57,180,3.1,628.44,3000.0,522.66,11,3,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-19 11:35:09.504458,59.84,66.85,4.17,477.42,5.13,168.67,27.92,48.0,7.15,227,20.9,366.34,832.89,3479.27,11,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 12:08:31.339495,96.58,109.29,11.14,546.42,11.26,99.64,24.07,60.0,2.57,240,32.94,2819.91,2069.19,3000.0,12,3,Summer,High,Burning
Mumbai,19.076,72.8777,2026-03-19 12:08:36.997514,33.87,89.9,0.24,131.89,2.04,83.01,29.03,61.0,5.14,270,18.56,142.87,3000.0,1921.7,12,3,Summer,Moderate,Agricultural
Pune,18.5204,73.8567,2026-03-19 12:08:41.369030,37.46,71.91,0.74,167.83,4.81,102.94,32.86,24.0,0.45,211,15.49,1425.74,581.3,2048.67,12,3,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-19 12:08:46.683346,21.06,23.68,1.17,213.17,2.46,115.64,32.0,25.0,3.09,180,3.1,628.44,3000.0,522.66,12,3,Summer,Low,Natural
Bangalore,12.9716,77.5946,2026-03-19 12:08:50.067622,52.51,58.22,2.91,417.76,4.19,171.83,28.43,45.0,7.15,239,20.9,366.34,832.89,3479.27,12,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 13:31:51.396290,33.7,40.82,3.72,262.6,4.27,121.36,25.07,57.0,4.12,230,32.94,2819.91,2069.19,3000.0,13,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 13:31:56.003859,32.97,88.24,0.14,126.13,1.35,80.44,30.03,51.0,5.14,280,18.56,142.87,3000.0,1921.7,13,3,Summer,Moderate,Agricultural
Pune,18.5204,73.8567,2026-03-19 13:31:59.286665,37.74,75.84,0.54,160.88,3.77,97.02,33.94,20.0,0.45,31,15.49,1425.74,581.3,2048.67,13,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 13:32:03.787217,21.5,25.0,0.98,189.88,1.96,117.34,33.0,27.0,1.03,0,3.1,628.44,3000.0,522.66,13,3,Summer,Low,Natural
Bangalore,12.9716,77.5946,2026-03-19 13:32:06.653874,46.82,51.8,2.78,378.01,3.67,167.19,29.37,40.0,5.81,270,20.9,366.34,832.89,3479.27,13,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 14:45:52.923538,32.38,38.93,3.8,260.03,3.9,117.76,25.07,53.0,1.03,0,32.94,2819.91,2069.19,3000.0,14,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 14:45:54.635662,31.62,86.24,0.1,121.35,0.83,76.74,30.0,58.0,4.63,290,18.56,142.87,3000.0,1921.7,14,3,Summer,Moderate,Agricultural
Pune,18.5204,73.8567,2026-03-19 14:45:56.242752,37.54,78.72,0.45,153.94,2.9,91.56,31.85,27.0,1.2,204,15.49,1425.74,581.3,2048.67,14,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 14:45:58.174482,21.7,25.74,1.11,182.04,2.21,116.61,33.0,24.0,3.09,180,3.1,628.44,3000.0,522.66,14,3,Summer,Low,Natural
Bangalore,12.9716,77.5946,2026-03-19 14:45:59.487654,42.87,47.49,3.05,355.85,3.43,164.69,30.45,37.0,5.81,288,20.9,366.34,832.89,3479.27,14,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 16:10:22.940691,31.93,37.34,7.9,302.09,4.27,97.62,25.07,53.0,3.6,280,32.94,2819.91,2069.19,3000.0,16,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 16:10:24.655356,29.15,83.56,0.06,116.12,0.31,69.37,30.01,54.0,5.14,270,18.56,142.87,3000.0,1921.7,16,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 16:10:25.918263,34.99,80.15,0.41,134.62,1.37,84.63,25.63,47.0,4.07,297,15.49,1425.74,581.3,2048.67,16,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 16:10:27.751422,22.6,27.07,2.05,185.59,3.46,116.65,35.08,16.0,3.0,133,3.1,628.44,3000.0,522.66,16,3,Summer,Low,Natural
