state,city,latitude,longitude,timestamp,pm25,pm10,no2,co,so2,o3,temperature,humidity,pressure,wind_speed,dist_to_road,dist_to_industry,dist_to_dump,hour,day,month,day_of_week,season,source_label,confidence
Rajasthan,Jaipur,26.908935,75.797119,2024-01-01 00:00:00,0.4099188937641271,0.6437705103541925,0.6526655896607433,0.6026200873362445,0.1147208121827411,0.3204054649625386,0.4608695652173913,0.1694915254237288,0.5,0.4486956521739129,0.7242798353909464,0.3395445134575569,0.845360824742268,0,1,1,0,Winter,Natural,0.85
Uttar Pradesh,Lucknow,26.851918,80.937123,2024-01-01 01:00:00,0.9999999999999998,1.0,0.6462035541195478,1.0,0.7401015228426396,0.6453283384750992,0.5043478260869563,0.3898305084745762,0.0,0.3582608695652174,0.611111111111111,0.6997929606625259,0.981443298969072,1,1,1,0,Winter,Natural,0.83
West Bengal,Kolkata,22.571281,88.36627,2024-01-01 02:00:00,0.1341576917963036,0.1639696729659386,0.1938610662358643,0.3908296943231441,0.2477157360406091,0.3358307624504186,0.6198757763975156,0.847457627118644,0.0,0.7165217391304347,0.9156378600823044,0.3726708074534162,0.1360824742268041,2,1,1,0,Winter,Natural,0.82
West Bengal,Kolkata,22.572575,88.363516,2024-01-01 03:00:00,0.1341576917963036,0.1639696729659386,0.1938610662358643,0.3908296943231441,0.2477157360406091,0.3358307624504186,0.6173913043478261,0.847457627118644,0.0,0.7165217391304347,0.8395061728395061,0.9668737060041408,0.8597938144329896,3,1,1,0,Winter,Natural,0.84
Telangana,Hyderabad,17.38626,78.48305,2024-01-01 04:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.648447204968944,0.559322033898305,0.5,0.4486956521739129,0.8950617283950617,0.20703933747412,0.8639175257731959,4,1,1,0,Winter,Natural,0.91
Tamil Nadu,Chennai,13.078508,80.265373,2024-01-01 05:00:00,0.1724504720117005,0.2142129682018784,0.5032310177705978,0.3515283842794761,1.0,0.2049360951961216,0.8161490683229813,0.8305084745762712,0.5,0.4486956521739129,0.8991769547325102,0.9730848861283644,0.3484536082474227,5,1,1,0,Winter,Natural,0.94
Odisha,Bhubaneswar,20.298972,85.830863,2024-01-01 06:00:00,0.1822895891503789,0.1856965033382369,0.2011308562197092,0.3427947598253276,0.5411167512690356,0.3693256941383869,0.8658385093167702,0.7118644067796609,0.0,0.7165217391304347,0.7469135802469135,0.0559006211180124,0.2164948453608247,6,1,1,0,Winter,Natural,0.77
Telangana,Hyderabad,17.384397,78.478591,2024-01-01 07:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.6534161490683226,0.559322033898305,0.5,0.4486956521739129,0.4300411522633744,0.9316770186335404,0.3525773195876289,7,1,1,0,Winter,Natural,0.72
Karnataka,Bangalore,12.972158,77.590151,2024-01-01 08:00:00,0.3136550990559765,0.32363924408736,0.5516962843295639,0.4475982532751091,0.6893401015228426,0.7696121639488761,0.5105590062111802,0.5932203389830508,1.0,1.0,0.95679012345679,0.9151138716356108,0.9216494845360824,8,1,1,0,Winter,Natural,0.73
West Bengal,Kolkata,22.569901,88.370199,2024-01-01 09:00:00,0.1341576917963036,0.1639696729659386,0.1938610662358643,0.3908296943231441,0.2477157360406091,0.3358307624504186,0.6198757763975156,0.847457627118644,0.0,0.7165217391304347,0.8065843621399176,0.5942028985507247,0.5670103092783505,9,1,1,0,Winter,Natural,0.92
Telangana,Hyderabad,17.376345,78.477349,2024-01-01 10:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.6534161490683226,0.559322033898305,0.5,0.4486956521739129,0.7489711934156378,0.0993788819875776,0.88659793814433,10,1,1,0,Winter,Natural,0.79
Odisha,Bhubaneswar,20.299833,85.829452,2024-01-01 11:00:00,0.1822895891503789,0.1856965033382369,0.2011308562197092,0.3427947598253276,0.5411167512690356,0.3693256941383869,0.8658385093167702,0.7118644067796609,0.0,0.7165217391304347,0.3786008230452675,0.3768115942028986,0.3237113402061856,11,1,1,0,Winter,Natural,0.77
Telangana,Hyderabad,17.387228,78.481268,2024-01-01 12:00:00,0.3504853078048132,0.3298630757044245,0.4378029079159935,0.4126637554585153,0.9126903553299494,0.6223005729396209,0.648447204968944,0.559322033898305,0.5,0.4486956521739129,0.1748971193415637,0.1180124223602484,0.5835051546391753,12,1,1,0,Winter,Natural,0.8
Punjab,Amritsar,31.631404,74.87687,2024-01-01 13:00:00,0.3782741656694587,0.4747086115197465,0.5525040387722132,0.8187772925764193,0.2395939086294416,0.0,0.1217391304347828,0.559322033898305,0.0,0.0,0.2242798353909464,0.5279503105590062,0.068041237113402,13,1,1,0,Winter,Natural,0.91
Bihar,Patna,25.601599,85.142125,2024-01-01 14:00:00,0.5045871559633026,0.5054882878805025,0.2649434571890145,0.5807860262008734,0.7045685279187818,0.983913618334068,0.6198757763975156,0.3898305084745762,0.0,0.5373913043478261,0.2386831275720164,0.20703933747412,0.0865979381443299,14,1,1,0,Winter,Natural,0.78
Punjab,Amritsar,31.633135,74.878647,2024-01-01 15:00:00,0.3782741656694587,0.4747086115197465,0.5525040387722132,0.8187772925764193,0.2395939086294416,0.0,0.1217391304347828,0.559322033898305,0.0,0.0,0.4650205761316872,0.7991718426501035,0.8061855670103093,15,1,1,0,Winter,Natural,0.94
Karnataka,Bangalore,12.967031,77.590915,2024-01-01 16:00:00,0.3136550990559765,0.32363924408736,0.5516962843295639,0.4475982532751091,0.6893401015228426,0.7696121639488761,0.5105590062111802,0.5932203389830508,1.0,1.0,0.5123456790123456,0.9834368530020704,0.6144329896907217,16,1,1,0,Winter,Natural,0.88
Delhi,Delhi,28.616842,77.21308,2024-01-01 17:00:00,0.4230820369631697,0.492701142921806,1.0,0.8558951965065501,0.2253807106598984,0.3973115910092553,0.2621118012422361,0.4915254237288136,0.5,0.1791304347826086,0.3518518518518518,0.3519668737060041,0.1731958762886598,17,1,1,0,Winter,Natural,0.85
