source,city,latitude,longitude,temperature_C,humidity_%,wind_speed_mps,wind_direction_deg,timestamp,source.1,city.1,latitude.1,longitude.1,PM2_5,PM10,NO2,CO,SO2,O3,timestamp.1,element,id,geometry,man_made,name,landuse,barrier,depot,industrial,operator,operator:wikidata,hour,day_of_week,month,season,dist_to_road,dist_to_industry,dist_to_farmland
OpenWeatherMap,Tenali,16.243,80.64,27.72,42.0,6.03,122.0,2026-02-19 12:18:04.964530,OpenWeather Air Pollution API,Tenali,16.243,80.64,75.53,92.18,0.7,255.19,3.13,137.46,2026-02-19T12:18:04.964530,node,9768715221.0,POINT (80.6302628 16.239092),works,kumar pumps,,,,,,,12.0,3.0,2.0,Winter,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322592846.0,"POLYGON ((80.6838145 16.2699015, 80.6869346 16.2682761, 80.6871661 16.2667896, 80.682914 16.2660374, 80.6828345 16.2659937, 80.6827551 16.2657893, 80.6821777 16.2656436, 80.6818066 16.2655127, 80.6784777 16.2641116, 80.6774648 16.2638144, 80.6772647 16.2639649, 80.6773282 16.2647431, 80.6778102 16.2674565, 80.6786599 16.2678225, 80.6793736 16.2706885, 80.6796825 16.2706366, 80.6800949 16.271913, 80.6826261 16.2706115, 80.6838145 16.2699015))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322592847.0,"POLYGON ((80.6856628 16.2718189, 80.6876626 16.2716773, 80.6886568 16.2696775, 80.6895791 16.2675396, 80.6879956 16.2680656, 80.6870125 16.268403, 80.6869074 16.2697847, 80.6856628 16.2718189))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596618.0,"POLYGON ((80.6836947 16.2727543, 80.6839433 16.2727344, 80.6840262 16.2718992, 80.6854999 16.2718005, 80.6866133 16.2696247, 80.6867625 16.2686513, 80.6837205 16.2702355, 80.6836947 16.2727543))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596621.0,"POLYGON ((80.6841494 16.2720825, 80.6842099 16.2730029, 80.6843592 16.2741058, 80.6886465 16.2736121, 80.6884114 16.2717798, 80.6841494 16.2720825))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596622.0,"POLYGON ((80.6887704 16.2735818, 80.693528 16.2729285, 80.6931427 16.2714154, 80.6885161 16.271821, 80.6887704 16.2735818))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596625.0,"POLYGON ((80.6934162 16.2715037, 80.6944633 16.2713671, 80.6944532 16.2726358, 80.6937212 16.2726748, 80.6934162 16.2715037))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596630.0,"POLYGON ((80.6889228 16.2695226, 80.6912332 16.2694035, 80.6912117 16.2686009, 80.6892743 16.2686146, 80.6889228 16.2695226))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1322596635.0,"POLYGON ((80.687094 16.2682139, 80.6896588 16.2673913, 80.6897075 16.2672178, 80.6872983 16.2668429, 80.687094 16.2682139))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1323376458.0,"POLYGON ((80.6691969 16.2182864, 80.6691208 16.2177584, 80.6693456 16.2177252, 80.6693802 16.2178481, 80.6696499 16.2178049, 80.6697087 16.2182233, 80.6691969 16.2182864))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1323376459.0,"POLYGON ((80.6667048 16.2201213, 80.6653335 16.2148747, 80.6717816 16.2148646, 80.6712687 16.2188449, 80.6667048 16.2201213))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1323376460.0,"POLYGON ((80.6618261 16.2221083, 80.661718 16.2175221, 80.6629676 16.2172354, 80.6627878 16.2164325, 80.6653273 16.2156647, 80.6664944 16.2204896, 80.6618261 16.2221083))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1323376461.0,"POLYGON ((80.6617504 16.2163703, 80.6652516 16.2156128, 80.6650355 16.2147827, 80.6618044 16.2147931, 80.6617504 16.2163703))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1324438680.0,"POLYGON ((80.6286004 16.3094652, 80.634369 16.3095968, 80.6346479 16.3071463, 80.6352499 16.3018381, 80.6338063 16.2991445, 80.6327657 16.2993465, 80.6278975 16.296534, 80.627684 16.2982717, 80.627497 16.3001393, 80.6275368 16.3021228, 80.6277915 16.305494, 80.628257 16.3080499, 80.6286004 16.3094652))",,,farmland,,,,,,,,,Autumn,,,
Unknown,Tenali,,,28.94,43.0,5.08,,,,,,,65.21,78.19,1.84,244.62,5.23,128.18,,way,1324438682.0,"POLYGON ((80.633587 16.2990462, 80.6338966 16.2990588, 80.6351188 16.301414, 80.6352947 16.3016398, 80.635984 16.2952092, 80.6329709 16.2962473, 80.633587 16.2990462))",,,farmland,,,,,,,,,Autumn,,,
